id,date_start,country,link,description,persons
212,2015-10-05T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-aflagger-besog-pa-ap-moller-skolen-i-slesvig-kl-1130,H.K.H. Prinsesse Benedikte aflægger besøg på A.P. Møller skolen i Slesvig kl. 11.30,H.K.H. Prinsesse Benedikte
213,2015-10-05T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-deltager-i-kiels-universitets-350-ars-jubilaum-kl-1400,H.K.H. Prinsesse Benedikte deltager i Kiels Universitets 350-års jubilæum kl. 14.00,H.K.H. Prinsesse Benedikte
214,2015-10-06T00:00:00,Danmark,/menu/kalender/den-kongelige-familie-overvarer-folketingets-abning-pa-christiansborg-slot-kl-1200-3,Den kongelige familie overværer Folketingets åbning på Christiansborg Slot kl. 12.00,"H.M. Dronningen,H.K.H. Prins Henrik,H.K.H. Kronprinsen,H.K.H. Kronprinsessen,H.K.H. Prins Joachim,H.K.H. Prinsesse Marie,H.K.H. Prinsesse Benedikte"
215,2015-10-06T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-women-deliver-komitemode-kl-1430,H.K.H. Kronprinsessen deltager i Women Deliver Komitémøde kl. 14.30,
216,2015-10-06T00:00:00,Danmark,/menu/kalender/regentparret-afholder-pressemode-for-indonesiske-journalister-forud-for-statsbesog-til-ind,Regentparret afholder pressemøde for indonesiske journalister forud for statsbesøg til Indonesien kl. 15.30,"H.M. Dronningen,H.K.H. Prins Henrik"
217,2015-10-06T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-deltager-i-generalforsamlingen-i-ballettens-venner-pa-det-konge,H.K.H. Prinsesse Benedikte deltager i generalforsamlingen i Ballettens Venner på Det Kongelige Teater kl. 17.00,H.K.H. Prinsesse Benedikte
218,2015-10-06T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-er-vart-ved-en-middag-for-deltagere-i-danish-maritime-forum-kl-1930-2,"H.K.H. Kronprinsen er vært ved en middag for deltagere i Danish Maritime Forum, kl. 19.30",H.K.H. Kronprinsen
219,2015-10-07T00:00:00,Danmark,/menu/kalender/statsrad-pa-christiansborg-slot-kl-930-2-3,Statsråd på Christiansborg Slot kl. 9.30,
220,2015-10-07T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-foretager-den-officielle-abning-af-fiskerimessen-danfish-internationa,H.K.H. Prins Joachim foretager den officielle åbning af fiskerimessen DanFish International og DanAqua kl. 11.00,H.K.H. Prins Joachim
221,2015-10-07T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-taler-ved-danish-maritime-forum-kl-1630,H.K.H. Kronprinsen taler ved Danish Maritime Forum kl. 16.30,H.K.H. Kronprinsen
222,2015-10-07T00:00:00,Danmark,/menu/kalender/regentparret-er-til-stede-ved-abningen-af-udstillingen-eckersberg-en-smuk-logn-pa-stat,"Regentparret er til stede ved åbningen af udstillingen ""Eckersberg - En smuk løgn"" på Statens Museum for Kunst kl. 17.00","H.M. Dronningen,H.K.H. Prins Henrik"
223,2015-10-07T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-deltager-ved-csr-awards-2015-og-overrakker-herunder-csr-people-prize,H.K.H. Prins Joachim deltager ved CSR Awards 2015 og overrækker herunder CSR People Prize kl. 18.30,H.K.H. Prins Joachim
224,2015-10-08T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-free-of-bullying-seminar-med-mary-fonden-kl-920,"H.K.H. Kronprinsessen deltager i ""Free of Bullying"" seminar med Mary Fonden kl. 9.20",H.K.H. Kronprinsessen
225,2015-10-08T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-deltager-i-dansk-mongolsk-selskabs-25-ars-jubilaumsreception-kl-1500,H.K.H. Kronprinsen deltager i Dansk Mongolsk Selskabs 25-års jubilæumsreception kl. 15.00,H.K.H. Kronprinsen
226,2015-10-08T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-taler-pa-danish-maritime-technology-conference-kl-1530,H.K.H. Prins Joachim taler på Danish Maritime Technology Conference kl. 15.30,H.K.H. Prins Joachim
227,2015-10-08T00:00:00,Danmark,/menu/kalender/hm-dronningen-er-til-stede-ved-abningen-af-udstillingen-monet-og-impressionisterne-pa,"H.M. Dronningen er til stede ved åbningen af udstillingen ""Monet og impressionisterne"" på ARoS kl. 16.00",H.M. Dronningen
228,2015-10-08T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-deltager-ved-gallaforevisningen-af-drs-historiske-tv-drama-1864-kl,H.K.H. Prins Joachim deltager ved gallaforevisningen af DRs historiske tv-drama ”1864” kl. 20.00,H.K.H. Prins Joachim
229,2015-10-09T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-foretager-den-officielle-abning-af-dong-energys-forste-havvindmollepa,H.K.H. Prins Joachim foretager den officielle åbning af DONG Energys første havvindmøllepark i Tyskland kl. 11.30,H.K.H. Prins Joachim
230,2015-10-10T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-marie-forestar-abning-af-ikebana-international-copenhagen-chapters-50-ar,H.K.H. Prinsesse Marie forestår åbning af Ikebana International Copenhagen Chapter's 50-års jubilæums udstilling kl. 12.00,H.K.H. Prinsesse Marie
231,2015-10-12T00:00:00,Danmark,/menu/kalender/hm-dronningen-overrakker-dronning-ingrids-forskerpris-kl-1500,H.M. Dronningen overrækker Dronning Ingrids Forskerpris kl. 15.00,H.M. Dronningen
232,2015-10-13T00:00:00,Danmark,/menu/kalender/hm-dronningen-modtager-ambassadorer-i-audiens-kl-1000-2,H.M. Dronningen modtager ambassadører i audiens kl. 10.00,H.M. Dronningen
233,2015-10-14T00:00:00,Danmark,/menu/kalender/hm-dronningen-modtager-ambassadoren-for-cuba-i-afskedsaudiens,H.M. Dronningen modtager ambassadøren for Cuba i afskedsaudiens,H.M. Dronningen
234,2015-10-15T00:00:00,Danmark,/menu/kalender/hkh-prins-christians-fodselsdag-4,H.K.H. Prins Christians fødselsdag,H.K.H. Prins Christian
235,2015-10-16T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-overvarer-odense-horse-show-den-16-18-oktober,H.K.H. Prinsesse Benedikte overværer Odense Horse Show den 16. - 18. oktober,H.K.H. Prinsesse Benedikte
